Country,Economic status1,Coastal population2,Waste generation rate [kg/person/day]3,% Plastic in waste stream4,% Inadequately managed waste5,% Littered waste6,Waste generation [kg/day]7,Plastic waste generation [kg/day]7,Inadequately managed plastic waste [kg/day]7,"Plastic waste littered
 [kg/day]7",Mismanaged plastic waste [kg/person/day]7,"Mismanaged plastic waste in 2010
 [tonnes]7","Mismanaged plastic waste in 2025
 [tonnes]7"
Saint Kitts and Nevis,UMI,36102,5.45,11.949999999999998,6.330897500000001,2,196755.9,23512.330049999997,1488.5415153271986,470.24660099999994,5.4257052693124995E-2,714.9576624594275,741.809035538773
Saint Lucia,UMI,163227,4.35,11.949999999999998,19.6622712,2,710037.45,84849.47527499998,16683.333940347442,1696.9895054999995,0.11260590126539996,6708.8180577343155,8610.064891920989
"Saint Maarten, DWI",HIC,37429,2.1,11.949999999999998,0.0321997,2,78600.90000000001,9392.80755,3.0244558526773497,187.85615099999998,5.0998051471500003E-3,69.67142150122723,98.4924580946729
Saint Pierre,HIC,5888,2.1,11.949999999999998,0.0321997,2,12364.800000000001,1477.5936,0.47578070641919995,29.551872,5.0998051471500003E-3,10.960093237843008,15.493964392888774
Saint Vincent and the Grenadines,UMI,120149,1.7,12.949999999999998,21.2494196,2,204253.3,26450.802349999994,5620.641978918159,529.0160469999998,5.1183597249399991E-2,2244.6251794601285,2995.752495249868
Samoa,LMI,168025,0.79,12.949999999999998,79.6294546,2,132739.75,17189.797624999996,13688.14209563125,343.79595249999994,8.3511013528529993E-2,5121.657387567907,10988.919907234178
Sao Tome and Principe8,LMI,163740,0.79,12.949999999999998,81.10841640000001,2,129354.6,16751.4207,13586.812054271795,335.028414,8.5024065398020002E-2,5081.4717709192055,13309.429781127159
Saudi Arabia,HIC,3593471,1.3,11.949999999999998,8.086381099999999,2,4671512.3,558245.7198499999,45141.87638150933,11164.914396999999,1.5669193038849998E-2,20551.97863415591,43855.30964717172
Senegal8,LMI,8125063,0.79,12.95,81.97151649999999,2,6418799.7700000005,831234.5702150001,681375.5828774929,16624.691404300003,8.5907059955325007E-2,254770.10011285442,738264.1612492696
Seychelles,UMI,91361,2.98,11.949999999999998,36.8984876,2,272255.77999999997,32534.56570999999,12004.7626942182,650.6913141999999,0.13852140419235998,4619.240713072642,5478.260045635654
Sierra Leone,LI,2887017,0.45,8.949999999999998,83.7868461,2,1299157.6500000001,116274.60967499997,97422.82826176794,2325.4921934999993,3.4550652266774992E-2,36408.1369661728,121312.26678224352
Singapore,HIC,4492494,1.49,12.949999999999998,0.0453822,2,6693816.06,866849.1797699998,393.39522846158087,17336.983595399997,3.946667224009999E-3,6471.588270709475,10877.618230688426
Slovenia,HIC,336594,1.21,11.95,1.1301307999999999,2,407278.74,48669.809429999994,550.0325066697344,973.3961885999998,4.5260126302599998E-3,556.051473773453,984.8110384433334
Solomon Islands8,LMI,618678,0.79,12.95,86.27750309999999,2,488755.62,63293.852790000004,54608.35580300169,1265.8770558,9.0312299546455005E-2,20394.09499346262,176588.56944418544
Somalia,LI,5971169,0.6,8.949999999999998,84.7501682,2,3582701.4,320651.77529999986,271752.9189030359,6413.035505999997,4.6584840323399976E-2,101530.57335929811,289600.66743829485
South Africa,UMI,12899201,2,11.949999999999998,53.9873732,2,25798402,3082909.0389999994,1664381.6083014633,61658.18077999999,0.13380982194799998,630004.5230147341,836279.1369846725
Spain,HIC,22771488,2.13,12.949999999999998,3.91e-8,2,48503269.44,6281173.392479999,0.0024559387964596794,125623.46784959998,5.5167001078514841E-3,45852.56666152166,58932.13702791081
Sri Lanka,LMI,14568174,5.1,6.950000000000002,82.4240062,2,74297687.39999999,5163689.274300001,4256119.567597767,103273.78548600001,0.29924088997589998,1591178.573875575,1918669.5871266
Sudan,LMI,752529,0.79,12.949999999999998,79.592941,2,594497.91,76987.47934499999,61276.59901245302,1539.7495868999997,8.3473658290049976E-2,22927.967238763853,52060.787042468044
Suriname,UMI,402263,1.36,11.949999999999998,14.5201104,2,547077.68,65375.782759999995,9492.635831616166,1307.5156551999999,2.6848483422079995E-2,3942.0552926879004,6394.453846000987
Svalbard,LMI,2226,0.79,12.949999999999998,1.73e-5,2,1758.5400000000002,227.73092999999997,3.9397450889999995e-5,4.5546185999999995,2.0461176987649999E-3,1.6624501690695748,3.809839767913137
Sweden,HIC,6202234,1.61,2.9499999999999997,3.9799999999999997e-10,2,9985596.74,294575.10383,1.1724089132433998e-6,5891.5020766,9.4990000018903005E-4,2150.3982583869292,5245.349483398977
Syria,LMI,3621997,1.37,12.949999999999998,65.32289209999999,2,4962135.890000001,642596.597755,419762.68218976964,12851.9319551,0.11944090901921499,157904.3341628774,304959.6675673104
Taiwan,HIC,22211567,2.1,11.949999999999998,0.24715050000000002,2,46644290.7,5573992.73865,13776.150923537169,111479.854773,5.6392241797499996E-3,45718.44207923607,64630.829163770824
Tanzania,LI,6688695,0.26,8.949999999999998,83.52242290000001,2,1739060.7,155645.93264999994,129999.25409458214,3112.918652999999,1.9901067808829994E-2,48585.94305286748,214195.86185496097
Thailand8,UMI,26043442,1.2,11.95,73.3949947,2,31252130.4,3734629.5827999995,2741031.184360692,74692.59165599999,0.10811642239979999,1027739.1782460924,2179507.6108297263
The Gambia,LI,1324214,0.53,8.949999999999998,83.5560459,2,701833.42,62814.09108999998,52484.97078282819,1256.2818217999995,4.0583510372664985E-2,19615.55720068929,53497.52194384544
Togo,LI,1991642,0.52,10.949999999999998,83.5254818,2,1035653.8400000001,113404.09547999997,94721.31713060201,2268.0819095999996,4.8698209336919998E-2,35401.13064967374,96994.48478992964
Tokelau,LMI,1379,0.79,12.949999999999998,82.3562804,2,1089.41,141.07859499999998,116.18708328258037,2.8215718999999995,8.6300692663219991E-2,43.43815914164184,99.5473002570585
Tonga,LMI,102872,3.71,5.950000000000002,77.9167611,2,381655.12,22708.479640000005,17693.711830540942,454.1695928000001,0.17641225429019503,6623.976719519444,10271.874053823489
Trinidad and Tobago,HIC,1358433,14.4,24.950000000000006,3.2804208,2,19561435.2,4880578.082400001,160103.49857529078,97611.56164800002,0.18971495850240006,94065.99698150114,73512.08064870758
Tunisia8,UMI,7274973,1.2,11.949999999999998,59.5340024,2,8729967.6,1043231.1281999998,621077.244900135,20864.622563999998,8.823975944159998E-2,234308.78162440925,440700.7016495157
Turkey,UMI,34042862,1.77,11.949999999999998,16.489279800000002,2,60255865.74,7200575.955929999,1187323.1165848223,144011.5191186,3.9107600168969997E-2,485937.1420317492,790234.8228808821
Turks and Caicos Islands,HIC,22570,2.1,11.949999999999998,0.39000189999999996,2,47397,5663.941499999999,22.089479464888495,113.27882999999999,5.997709768049999E-3,49.40943295468429,69.8486753953351
Tuvalu,UMI,11563,1.2,11.949999999999998,73.4860443,2,13875.6,1658.1341999999997,1218.4972327654505,33.162684,0.10824698752619998,456.85586961938935,861.125104559559
Ukraine,LMI,6812799,0.79,12.949999999999998,48.6153297,2,5382111.21,696983.4016949999,338840.7786882996,13939.668033899998,5.1782013049584991E-2,128764.86305360285,233388.41892091386
United Arab Emirates,HIC,2018302,1.66,11.949999999999998,0.0638208,2,3350381.32,400370.5677399999,255.51969929620986,8007.411354799999,4.0940013209599998E-3,3015.9698347451163,5910.464885113969
United Kingdom,HIC,43258889,1.79,11.949999999999998,8.120000000000001e-9,2,77433411.31,9253292.651545,7.513673633054539e-4,185065.85303089998,4.2781000173690853E-3,67549.03663052758,94164.76305456621
United States,HIC,112925034,2.58,12.949999999999998,8.379999999999999e-10,2,291346587.72,37729383.10974,3.1617223045962115e-4,754587.6621948,6.6822000027998421E-3,275424.4968165049,336818.6977390992
Uruguay8,HIC,2433597,2.1,11.949999999999998,7.673173799999999,2,5110553.7,610711.1671499999,46860.929271427995,12214.223342999998,2.4274829651099995E-2,21562.430704266215,8037.000749853789
USVI,HIC,134219,2.1,11.949999999999998,0.0321997,2,281859.9,33682.25805,10.845586045325849,673.6451609999999,5.0998051471499994E-3,249.83912267154392,296.1482356117104
Vanuatu,LMI,251851,3.28,8.949999999999998,81.2954374,2,826071.2799999999,73933.37955999997,60104.464297904175,1478.6675911999994,0.24452208603143991,22477.843139523022,38006.444385908515
Venezuela8,HIC,16094897,2.1,11.949999999999998,4.9414179,2,33799283.7,4039014.4021499995,199584.58065141807,80780.288043,1.7419488220049999E-2,102333.17707346259,154242.8027964932
Vietnam8,LMI,55858245,0.79,12.95,85.91834229999999,2,44128013.550000004,5714577.754725001,4909870.476304281,114291.55509450001,8.9944860090015011E-2,1833819.141460555,4172828.17458146
Yemen,LMI,6048920,0.79,12.949999999999998,72.9005021,2,4778646.8,618834.7605999998,451133.6476467328,12376.695211999997,7.6626958673404966E-2,169181.27514343747,513907.489454851
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Total,31865273.54660385,69143289.62064135
NA,Notes:,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,1 - Based upon 2010 Gross National Income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2 - Based upon a 50 km coastal buffer created in GIS with global population densities24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"3 - Bold data were taken directly from World Bank estimates6,21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"4 - Bold data were taken directly from World Bank estimates6,21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,5 - Using a model developed for this study (see Supplemental Information),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,6 - From U.S. national litter study22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,7 - Calculated values,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,8 - Economic status changed from 2005 to 20106; waste generation rate and %plastic were assigned using average values for the 2010 economic category,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
