country,sector,sub_sector,activity,persons_employed_2009,persons_employed_2018,persons_employed_delta_2018_09,turnover_2009,turnover_2018,turnover_delta_2018_09,value_added_at_factor_cost_2009,value_added_at_factor_cost_2018,value_added_at_factor_cost_delta_2018_09,gva_to_turnover_2009,gva_to_turnover_2018,gva_to_turnover_delta_2018_09,gross_operating_surplus_2009,gross_operating_surplus_2018,gross_operating_surplus_delta_2018_09,gross_profit_margin_2009,gross_profit_margin_2018,gross_profit_margin_delta_2018_09,personnel_costs_per_employee_2009,personnel_costs_per_employee_2018,personnel_costs_per_employee_delta_2018_09
Denmark,Marine living resources,Distribution of fish products,"Wholesale of other food, including fish, crustaceans and molluscs",1384,1905,0.38,1319.5,1829.9,0.39,113.9,175.8,0.54,0.09,0.1,0.11,45.5,60.3,0.33,0.03,0.03,-0.04,49.4,60.6,0.23
Denmark,Marine living resources,Distribution of fish products,"Retail sale of fish, crustaceans and molluscs in specialised stores",773,845,0.09,81.7,95.3,0.17,23.4,26.8,0.15,0.29,0.28,-0.02,8.8,6,-0.32,0.11,0.06,-0.42,18.9,24.5,0.3
Denmark,Marine non-living resources,Oil and gas,Extraction of crude petroleum,514,672,0.31,5910.2,2896.5,-0.51,4818.2,1310,-0.73,0.82,0.45,-0.45,4753.7,1175.9,-0.75,0.8,0.41,-0.5,125.4,199.4,0.59
Denmark,Marine non-living resources,Oil and gas,Extraction of natural gas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Denmark,Marine non-living resources,Oil and gas,Support activities for petroleum and natural gas extraction,1935,1274,-0.34,405.4,490.5,0.21,258.2,172.2,-0.33,0.64,0.35,-0.45,87.7,73.1,-0.17,0.22,0.15,-0.31,88.1,77.8,-0.12
Denmark,Marine non-living resources,Other minerals,Operation of gravel and sand pits; mining of clays and kaolin,149,84,-0.44,37.8,34.5,-0.09,15.2,12.3,-0.19,0.4,0.36,-0.11,7.3,6.7,-0.08,0.19,0.2,0,52.5,66,0.26
Denmark,Marine non-living resources,Other minerals,Extraction of salt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Denmark,Marine non-living resources,Other minerals,Support activities for other mining and quarrying,1,3,2,0.4,0.7,0.71,0.1,0.2,0.55,0.3,0.25,-0.16,0,0,-4,0.03,-0.05,-2.45,70,72.2,0.03
Denmark,Marine renewable energy,Offshore wind energy,Production of electricity,216,654,2.03,132.6,1029.7,6.77,25,387.1,14.51,0.19,0.38,1,10.5,344.5,31.84,0.08,0.33,3.23,66.9,65.2,-0.02
Denmark,Marine renewable energy,Offshore wind energy,Transmission of electricity,30,113,2.77,35.5,117.8,2.32,12.7,76.3,5,0.36,0.65,0.81,10.1,65.8,5.5,0.29,0.56,0.96,85.4,93.4,0.09
Denmark,Port activites,Cargo and warehousing,Cargo handling,145,187,0.29,19.2,30.2,0.57,9.5,18.6,0.96,0.49,0.61,0.25,1.2,3.8,2.27,0.06,0.13,1.08,57.1,78.7,0.38
Denmark,Port activites,Cargo and warehousing,Warehousing and storage,1284,1985,0.55,305.9,481,0.57,134.2,202.8,0.51,0.44,0.42,-0.04,67.9,59.7,-0.12,0.22,0.12,-0.44,51.7,72,0.39
Denmark,Port activites,Port and water projects,Construction of water projects,634,711,0.12,310,356.2,0.15,52.1,84.9,0.63,0.17,0.24,0.42,14.2,27.6,0.94,0.05,0.08,0.69,59.8,80.6,0.35
Denmark,Port activites,Port and water projects,Service activities incidental to water transportation,1376,2849,1.07,287.9,565.3,0.96,193.9,370.1,0.91,0.67,0.65,-0.03,105.1,186.5,0.77,0.37,0.33,-0.1,64.6,64.4,0
Denmark,Shipbuilding and repair,Shipbuilding,Building of ships and floating structures,2300,912,-0.6,617.1,393.1,-0.36,123.8,94,-0.24,0.2,0.24,0.19,35.6,28.3,1.79,-0.06,0.07,2.25,69.3,72,0.04
Denmark,Shipbuilding and repair,Shipbuilding,Building of pleasure and sporting boats,225,257,0.14,59.2,53.2,-0.1,16.1,14.5,-0.1,0.27,0.27,0,1.7,0.7,-0.59,0.03,0.01,-0.54,64,53.7,-0.16
Denmark,Shipbuilding and repair,Shipbuilding,Repair and maintenance of ships and boats,1333,1792,0.34,299.6,424.8,0.42,92.1,159.9,0.74,0.31,0.38,0.22,22.9,53.3,1.33,0.08,0.13,0.64,51.9,59.5,0.15
Denmark,Shipbuilding and repair,Equipment and machinery,"Manufacture of engines and turbines, except aircraft",402,30,-0.93,248.4,22.2,-0.91,45.2,3.6,-0.92,0.18,0.16,-0.11,17.5,1.1,-0.93,0.07,0.05,-0.27,68.8,82.4,0.2
Denmark,Shipbuilding and repair,Equipment and machinery,"Manufacture of instruments for measuring, testing and navigation",23,63,1.74,4.1,17.1,3.14,1.9,8.2,3.32,0.46,0.48,0.05,0.4,3.3,8.34,0.08,0.19,1.26,67.1,77.4,0.15
Denmark,Shipbuilding and repair,Equipment and machinery,Manufacture of other fabricated metal products n.e.c.,114,12,-0.89,18.1,1.9,-0.89,6.9,0.8,-0.88,0.38,0.42,0.1,1.1,0.2,-0.81,0.06,0.1,0.75,51.5,52.3,0.01
Denmark,Shipbuilding and repair,Equipment and machinery,Manufacture of sport goods,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Denmark,Shipbuilding and repair,Equipment and machinery,"Manufacture of cordage, rope, twine and netting",56,95,0.7,10.1,20.9,1.07,2.6,8.1,2.06,0.26,0.39,0.49,0.3,2.6,7.13,0.03,0.12,2.94,41.4,57.6,0.39
Denmark,Shipbuilding and repair,Equipment and machinery,Manufacture of textiles other than apparel,88,103,0.17,14,21.6,0.55,4.6,6.9,0.52,0.33,0.32,-0.02,0.5,2,3.39,0.03,0.09,1.83,46.8,47.5,0.01
Denmark,Maritime transport,Passenger transport,Sea and coastal passenger water transport,4420,5351,0.21,1174.1,2178.9,0.86,413.6,758.8,0.83,0.35,0.35,-0.01,178.6,436.8,1.45,0.15,0.2,0.32,53.2,60.2,0.13
Denmark,Maritime transport,Passenger transport,Inland passenger water transport,155,132,-0.15,81.9,20.4,-0.75,3.3,11.4,2.45,0.04,0.56,12.87,4.6,3.7,1.8,-0.06,0.18,4.23,51,59.1,0.16
Denmark,Maritime transport,Freight transport,Sea and coastal freight water transport,14285,12350,-0.14,22904.9,26150.7,0.14,1776.4,2906.6,0.64,0.08,0.11,0.43,817.7,1856.3,1.27,0.04,0.07,0.99,67.1,85,0.27
Denmark,Maritime transport,Freight transport,Inland freight water transport,28,25,-0.11,5.5,6.9,0.25,2.7,1.5,-0.44,0.49,0.22,-0.56,1.4,0.3,-0.79,0.25,0.04,-0.83,47.3,44,-0.07
Denmark,Maritime transport,Services for transport,Renting and leasing of water transport equipment,47,69,0.47,47.2,88.5,0.88,25.5,33,0.29,0.54,0.37,-0.31,24.4,29.7,0.22,0.52,0.34,-0.35,23.4,47.8,1.04
Denmark,Maritime transport,Services for transport,Other transportation support activities,8212,9769,0.19,3435.1,5218.2,0.52,633.8,850.6,0.34,0.18,0.16,-0.12,147.2,169.9,0.15,0.04,0.03,-0.24,59.2,69.7,0.18
Denmark,Coastal tourism,Accommodation,Accommodation,20154,28334,0.41,1777,2893.6,0.63,752.5,1186,0.58,0.42,0.41,-0.03,173.9,339,0.95,0.1,0.12,0.2,28.7,29.9,0.04
Denmark,Coastal tourism,Transport,Transport,8158,12454,0.53,1455.4,NA,0.73,464,858.5,0.85,0.32,0.34,0.07,102.6,256.7,1.5,0.07,0.1,0.45,44.3,48.3,0.09
Denmark,Coastal tourism,Other expenditure,Other expenditure,15706,36766,1.34,1571.6,3323.7,1.11,460.4,1018.9,1.21,0.29,0.31,0.05,112.8,197.1,0.75,0.07,0.06,-0.17,22.1,22.4,0.01
Estonia,Marine living resources,Primary production,Capture fisheries (SSCF),1646,2066,0.26,4.2,5.6,0.36,2.5,3,0.18,0.6,0.52,-0.13,1.2,1,-0.18,0.3,0.18,-0.4,0.8,0.9,0.21
Estonia,Marine living resources,Primary production,Capture fisheries (LSF),253,153,-0.4,12.9,9.7,-0.25,8.1,6.5,-0.2,0.63,0.67,0.07,3.7,2.7,-0.27,0.29,0.28,-0.03,17.2,24.7,0.43
Estonia,Marine living resources,Primary production,Capture fisheries (DWF),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Estonia,Marine living resources,Primary production,Marine aquaculture,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Estonia,Marine living resources,Primary production,Freshwater aquaculture,20,36,0.8,1.4,2,0.44,0.4,0.2,-0.57,0.3,0.09,-0.7,0.2,0.3,-2.47,0.14,-0.14,-2,5.8,8.4,0.45
Estonia,Marine living resources,Primary production,Shellfish aquaculture,4,1,-0.75,0,0,-0.25,0,0,0,0.52,0.66,0.25,0,NA,NA,0.2,0.16,-0.19,0,0.1,2.33
Estonia,Marine living resources,Processing of fish products,"Processing and preserving of fish, crustaceans and molluscs",1831,1385,-0.24,110.2,126.8,0.15,22.9,23.4,0.02,0.21,0.18,-0.11,7.1,5,-0.3,0.06,0.04,-0.39,8.6,13.3,0.54
Estonia,Marine living resources,Processing of fish products,Manufacture of oils and fats,NA,NA,NA,0.4,NA,NA,0,NA,NA,0.07,NA,NA,0,NA,NA,0.05,NA,NA,18.9,NA,NA
Estonia,Marine living resources,Processing of fish products,Prepared meals and dishes,113,203,0.8,7.2,12.5,0.74,1.7,4.1,1.48,0.23,0.33,0.42,0.6,1.2,0.92,0.09,0.1,0.11,9.2,14.3,0.55
Estonia,Marine living resources,Processing of fish products,Other food products,1,NA,NA,0.1,NA,NA,0,NA,NA,0.2,NA,NA,0,NA,NA,0.07,NA,NA,11.7,NA,NA
Estonia,Marine living resources,Distribution of fish products,"Wholesale of other food, including fish, crustaceans and molluscs",393,430,0.09,91.4,140.9,0.54,6.8,10.2,0.5,0.07,0.07,-0.02,2.3,4.9,1.11,0.03,0.03,0.37,11.3,12.5,0.1
Estonia,Marine living resources,Distribution of fish products,"Retail sale of fish, crustaceans and molluscs In specialised stores",43,43,0,1.6,1.6,0,0.1,0.1,0,0.06,0.06,0,NA,NA,NA,NA,NA,NA,2.3,2.3,0
Estonia,Marine non-living resources,Oil and gas,Extraction of crude petroleum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Estonia,Marine non-living resources,Oil and gas,Extraction of natural gas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Estonia,Marine non-living resources,Oil and gas,Support activities for petroleum and natural gas extraction,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Estonia,Marine non-living resources,Other minerals,Operation of gravel and sand pits; mining of clays and kaolin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Estonia,Marine non-living resources,Other minerals,Extraction of salt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Estonia,Marine non-living resources,Other minerals,Support activities for other mining and quarrying,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Estonia,Marine renewable energy,Offshore wind energy,Production of electricity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Estonia,Marine renewable energy,Offshore wind energy,Transmission of electricity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Estonia,Port activites,Cargo and warehousing,Cargo handling,880,775,-0.12,129.3,85.4,-0.34,64.5,40.8,-0.37,0.5,0.48,-0.04,47.2,20.1,-0.57,0.36,0.24,-0.36,19.7,26.8,0.36
Estonia,Port activites,Cargo and warehousing,Warehousing and storage,1353,1662,0.23,120.9,175,0.45,59.5,63,0.06,0.49,0.36,-0.27,38.1,31.1,-0.18,0.31,0.18,-0.44,15.8,19.2,0.21
Estonia,Port activites,Port and water projects,Construction of water projects,124,145,0.17,7.9,17.6,1.23,2.5,4.5,0.8,0.32,0.26,-0.19,1.1,2.1,0.91,0.14,0.12,-0.14,11.3,15.2,0.34
Estonia,Port activites,Port and water projects,Service activities incidental to water transportation,1238,1268,0.02,128.6,190.8,0.48,90.3,123.9,0.37,0.7,0.65,-0.08,67.8,87.4,0.29,0.53,0.46,-0.13,18.3,28.8,0.58
Estonia,Shipbuilding and repair,Shipbuilding,Building of ships and floating structures,308,426,0.38,30.5,54.7,0.79,7.8,15.2,0.95,0.26,0.28,0.09,3.5,6.9,0.97,0.11,0.13,0.1,14,19.5,0.4
Estonia,Shipbuilding and repair,Shipbuilding,Building of pleasure and sporting boats,303,323,0.07,13.4,20.2,0.51,5.6,7.5,0.34,0.42,0.37,-0.11,2.5,2.1,-0.16,0.19,0.1,-0.44,10.2,16.7,0.63
Estonia,Shipbuilding and repair,Shipbuilding,Repair and maintenance of ships and boats,1199,1956,0.63,90.6,165.3,0.82,24,51,1.13,0.26,0.31,0.17,6.4,14,1.2,0.07,0.08,0.21,14.7,18.9,0.28
Estonia,Shipbuilding and repair,Equipment and machinery,"Manufacture of engines and turbines, except aircraft",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Estonia,Shipbuilding and repair,Equipment and machinery,"Manufacture of instruments for measuring, testing and navigation",NA,11,NA,0,1.6,81,0,0.4,35,0.38,0.22,-0.43,NA,0.1,NA,0.15,0.08,-0.44,11.5,20.6,0.79
Estonia,Shipbuilding and repair,Equipment and machinery,Manufacture of other fabricated metal products n.e.c.,19,3,-0.84,1,0.3,-0.72,0.3,0.1,-0.72,0.3,0.3,0.01,0.1,0,-0.71,0.08,0.07,-0.13,11.5,19.6,0.7
Estonia,Shipbuilding and repair,Equipment and machinery,Manufacture of sport goods,238,210,-0.12,9.4,9.3,-0.02,4.4,3.4,-0.23,0.47,0.37,-0.21,2.4,0.6,-0.76,0.25,0.06,-0.76,8.6,13.9,0.61
Estonia,Shipbuilding and repair,Equipment and machinery,"Manufacture of cordage, rope, twine and netting",80,36,-0.55,3.4,1.6,-0.53,1.6,0.7,-0.6,0.48,0.41,-0.14,0.9,0.2,-0.75,0.25,0.13,-0.48,9.4,12,0.28
Estonia,Shipbuilding and repair,Equipment and machinery,Manufacture of textiles other than apparel,167,199,0.19,9.5,15.3,0.61,2.5,4,0.59,0.26,0.26,-0.01,0.9,1.2,0.27,0.1,0.08,-0.22,9.4,14.1,0.5
Estonia,Maritime transport,Passenger transport,Sea and coastal passenger water transport,844,766,-0.09,406.6,530,0.3,14.8,22.1,0.49,0.04,0.04,0.15,1.3,1.2,0.08,0,0,0.29,19.1,30.3,0.59
Estonia,Maritime transport,Passenger transport,Inland passenger water transport,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Estonia,Maritime transport,Freight transport,Sea and coastal freight water transport,138,138,0,27.5,27.5,0,12.7,12.7,0,0.46,0.46,0,7.2,7.2,0,0.26,0.26,0,39.9,39.9,0
Estonia,Maritime transport,Freight transport,inland freight water transport,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Estonia,Maritime transport,Services for transport,Renting and leasing of water transport equipment,40,55,0.38,14.8,19,0.28,11.5,15.1,0.31,0.78,0.79,0.02,11.4,15,0.32,0.77,0.79,0.02,2.5,1.8,-0.27
Estonia,Maritime transport,Services for transport,Other transportation support activities,1110,1471,0.33,360.5,489.6,0.36,23.2,66.1,1.85,0.06,0.14,1.1,5.4,33.6,5.24,0.01,0.07,3.59,16,22.1,0.38
Estonia,Coastal tourism,Accommodation,Accommodation,10469,9266,-0.11,286.3,409.7,0.43,91.2,175,0.92,0.32,0.43,0.34,3.5,57.9,15.64,0.01,0.14,10.63,8.4,12.6,0.51
Estonia,Coastal tourism,Transport,Transport,4562,2447,-0.46,467.8,508.1,0.09,74.2,57.9,-0.22,0.16,0.11,-0.28,24.9,24.4,-0.02,0.05,0.05,-0.1,10.8,13.7,0.26
Estonia,Coastal tourism,Other expenditure,Other expenditure,32178,20022,-0.38,1231.1,1154.8,-0.06,259.2,266.3,0.03,0.21,0.23,0.1,21.4,49.9,1.33,0.02,0.04,1.49,7.4,10.8,0.46
Finland,Marine living resources,Primary production,Capture fisheries (SSCF),1306,1074,-0.18,13.1,9.9,-0.24,8,6.1,-0.24,0.61,0.62,0.01,4.6,4.2,-0.1,0.35,0.42,0.19,2.6,1.8,-0.3
Finland,Marine living resources,Primary production,Capture fisheries (LSF),141,132,-0.06,18,24.8,0.38,6.3,9.3,0.47,0.35,0.38,0.07,2.9,5.1,0.78,0.16,0.21,0.29,24.5,32,0.31
Finland,Marine living resources,Primary production,Capture fisheries (DWF),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Finland,Marine living resources,Primary production,Marine aquaculture,80,89,0.11,6.2,20.5,2.32,4.1,4.8,0.17,0.66,0.23,-0.65,0.8,1.7,1.18,0.13,0.08,-0.34,30.4,25.1,-0.17
Finland,Marine living resources,Primary production,Freshwater aquaculture,369,348,-0.06,33,53.5,0.62,14.6,11.8,-0.19,0.44,0.22,-0.5,2.3,0.2,-0.93,0.07,0,-0.96,29.4,25.5,-0.13
Finland,Marine living resources,Primary production,Shellfish aquaculture,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Finland,Marine living resources,Processing of fish products,"Processing and preserving of fish, crustaceans and molluscs",907,974,0.07,195.9,353.3,0.8,36.3,49.1,0.35,0.19,0.14,-0.25,10.1,19.4,0.92,0.05,0.05,0.07,28.9,30.5,0.06
Finland,Marine living resources,Processing of fish products,Manufacture of oils and fats,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Finland,Marine living resources,Processing of fish products,Prepared meals and dishes,119,198,0.66,20.8,39.5,0.9,6.3,12.3,0.96,0.3,0.31,0.03,2.1,4.2,1.02,0.1,0.11,0.06,35.5,40.9,0.15
Finland,Marine living resources,Processing of fish products,Other food products,4,NA,NA,0.6,NA,NA,0.2,NA,NA,0.29,NA,NA,0.1,NA,NA,0.1,NA,NA,31,NA,NA
Finland,Marine living resources,Distribution of fish products,"Wholesale of other food, including fish, crustaceans and molluscs",1169,1238,0.06,610.9,765.3,0.25,103.7,108.3,0.04,0.17,0.14,-0.17,53.1,53.1,0,0.09,0.07,-0.2,43.3,44.6,0.03
Finland,Marine living resources,Distribution of fish products,"Retail sale of fish, crustaceans and molluscs In specialised stores",700,663,-0.05,107.6,152.8,0.42,22.8,27.7,0.21,0.21,0.18,-0.14,6,9.8,0.63,0.06,0.06,0.15,24,27,0.13
Finland,Marine non-living resources,Oil and gas,Extraction of crude petroleum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Finland,Marine non-living resources,Oil and gas,Extraction of natural gas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Finland,Marine non-living resources,Oil and gas,Support activities for petroleum and natural gas extraction,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Finland,Marine non-living resources,Other minerals,Operation of gravel and sand pits; mining of clays and kaolin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Finland,Marine non-living resources,Other minerals,Extraction of salt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Finland,Marine non-living resources,Other minerals,Support activities for other mining and quarrying,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Finland,Marine renewable energy,Offshore wind energy,Production of electricity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Finland,Marine renewable energy,Offshore wind energy,Transmission of electricity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Finland,Port activites,Cargo and warehousing,Cargo handling,1568,1365,-0.13,164.3,213.7,0.3,80.4,94.9,0.18,0.49,0.44,-0.09,6.9,21.3,2.07,0.04,0.1,1.36,46.9,54,0.15
Finland,Port activites,Cargo and warehousing,Warehousing and storage,4494,2540,-0.43,596,425.1,-0.29,209.7,151.2,-0.28,0.35,0.36,0.01,46.5,49.3,0.06,0.08,0.12,0.49,36.3,40.1,0.1
Finland,Port activites,Port and water projects,Construction of water projects,555,522,-0.06,105.8,112.4,0.06,38.4,33.7,-0.12,0.36,0.3,-0.17,15.6,10.4,-0.33,0.15,0.09,-0.37,41.1,44.6,0.09
Finland,Port activites,Port and water projects,Service activities incidental to water transportation,1759,1781,0.01,308.3,413.3,0.34,208.8,274.5,0.31,0.68,0.66,-0.02,114.8,172.7,0.5,0.37,0.42,0.12,53.4,57.2,0.07
Finland,Shipbuilding and repair,Shipbuilding,Building of ships and floating structures,5512,3796,-0.31,1191.5,1445.1,0.21,219.7,193.9,-0.12,0.18,0.13,-0.27,6.4,4.4,1.69,-0.01,0,1.57,41,49.9,0.22
Finland,Shipbuilding and repair,Shipbuilding,Building of pleasure and sporting boats,2443,1943,-0.2,224,298.3,0.33,63.2,81.8,0.29,0.28,0.27,-0.03,9.8,0.7,1.07,-0.04,0,1.05,29.9,41.7,0.4
Finland,Shipbuilding and repair,Shipbuilding,Repair and maintenance of ships and boats,791,834,0.05,84.3,132.8,0.58,32.9,38.7,0.18,0.39,0.29,-0.25,9.4,10.9,0.16,0.11,0.08,-0.26,29.6,33.3,0.13
Finland,Shipbuilding and repair,Equipment and machinery,"Manufacture of engines and turbines, except aircraft",1618,357,-0.78,946.5,178.9,-0.81,194.4,31.3,-0.84,0.21,0.17,-0.15,93.2,5.5,-0.94,0.1,0.03,-0.69,62.5,72.1,0.15
Finland,Shipbuilding and repair,Equipment and machinery,"Manufacture of instruments for measuring, testing and navigation",9,320,34.56,1.8,57,30.66,0.7,25.4,34.79,0.4,0.45,0.13,0.3,7,25.73,0.14,0.12,-0.16,48.8,57.7,0.18
Finland,Shipbuilding and repair,Equipment and machinery,Manufacture of other fabricated metal products n.e.c.,130,18,-0.86,15.7,2.9,-0.82,5.9,1,-0.82,0.37,0.36,-0.03,1.4,0.3,-0.77,0.09,0.11,0.24,34.2,39.3,0.15
Finland,Shipbuilding and repair,Equipment and machinery,Manufacture of sport goods,276,186,-0.33,39.7,28.9,-0.27,11.9,9.1,-0.23,0.3,0.32,0.06,2.8,1.8,-0.36,0.07,0.06,-0.12,33,39.5,0.2
Finland,Shipbuilding and repair,Equipment and machinery,"Manufacture of cordage, rope, twine and netting",15,NA,NA,1.6,NA,NA,0.7,NA,NA,0.42,NA,NA,0.2,NA,NA,0.13,NA,NA,31.7,NA,NA
Finland,Shipbuilding and repair,Equipment and machinery,Manufacture of textiles other than apparel,460,316,-0.31,45.9,39,-0.15,16,14.8,-0.07,0.35,0.38,0.09,4.1,5.1,0.23,0.09,0.13,0.45,25.7,30.7,0.19
Finland,Maritime transport,Passenger transport,Sea and coastal passenger water transport,5640,5807,0.03,1018.8,1167.8,0.15,275.3,323.8,0.18,0.27,0.28,0.03,33.6,66.4,0.98,0.03,0.06,0.72,42.9,44.3,0.03
Finland,Maritime transport,Passenger transport,Inland passenger water transport,234,183,-0.22,12.2,10.7,-0.12,6.4,5.3,-0.17,0.52,0.5,-0.06,1.8,1.2,-0.33,0.15,0.11,-0.24,19.7,22.4,0.14
Finland,Maritime transport,Freight transport,Sea and coastal freight water transport,3793,2847,-0.25,1379.2,881.1,-0.36,292.4,349.7,0.2,0.21,0.4,0.87,100.9,178.3,0.77,0.07,0.2,1.77,50.5,60.2,0.19
Finland,Maritime transport,Freight transport,inland freight water transport,38,43,0.13,4.3,6,0.4,1.7,2.5,0.47,0.4,0.42,0.05,0.1,1,11,-0.02,0.17,8.17,47.4,34.9,-0.26
Finland,Maritime transport,Services for transport,Renting and leasing of water transport equipment,11,18,0.64,1.6,5.7,2.56,0.7,3.5,4,0.44,0.61,0.4,0.5,3.2,5.4,0.31,0.56,0.8,28.6,16.7,-0.42
